01:27:56 :Epoch 1/100, Loss: 8.4013, Accuracy: 0.4600, Val Loss: 10.7430, Val Accuracy: 0.5000 
11:41:43 :Epoch 1/50, Loss: 4.8457, Accuracy: 0.5600, Val Loss: 4.6654, Val Accuracy: 0.6000 
11:42:39 :Epoch 2/50, Loss: 8.5245, Accuracy: 0.4800, Val Loss: 8.0262, Val Accuracy: 0.4000 
11:43:36 :Epoch 3/50, Loss: 10.5372, Accuracy: 0.4700, Val Loss: 8.1173, Val Accuracy: 0.6000 
11:45:56 :Epoch 1/50, Loss: 4.6558, Accuracy: 0.5929, Val Loss: 12.7262, Val Accuracy: 0.4286 
11:47:17 :Epoch 2/50, Loss: 7.3522, Accuracy: 0.5214, Val Loss: 7.2685, Val Accuracy: 0.6429 
11:48:37 :Epoch 3/50, Loss: 8.6236, Accuracy: 0.5000, Val Loss: 8.8370, Val Accuracy: 0.5000 
11:49:55 :Epoch 4/50, Loss: 9.7452, Accuracy: 0.5143, Val Loss: 10.2107, Val Accuracy: 0.5000 
11:51:11 :Epoch 5/50, Loss: 9.8767, Accuracy: 0.5429, Val Loss: 11.0869, Val Accuracy: 0.4286 
11:52:29 :Epoch 6/50, Loss: 9.7265, Accuracy: 0.5500, Val Loss: 10.1869, Val Accuracy: 0.5000 
11:53:46 :Epoch 7/50, Loss: 9.0298, Accuracy: 0.5643, Val Loss: 9.3258, Val Accuracy: 0.5714 
11:55:02 :Epoch 8/50, Loss: 9.3805, Accuracy: 0.5429, Val Loss: 9.3350, Val Accuracy: 0.6429 
11:56:17 :Epoch 9/50, Loss: 10.2627, Accuracy: 0.5214, Val Loss: 9.7649, Val Accuracy: 0.5714 
11:57:33 :Epoch 10/50, Loss: 9.6728, Accuracy: 0.5714, Val Loss: 8.4890, Val Accuracy: 0.6429 
11:58:51 :Epoch 11/50, Loss: 9.6009, Accuracy: 0.5643, Val Loss: 9.0685, Val Accuracy: 0.5714 
12:00:08 :Epoch 12/50, Loss: 10.1740, Accuracy: 0.5429, Val Loss: 8.1809, Val Accuracy: 0.6429 
12:01:25 :Epoch 13/50, Loss: 10.0014, Accuracy: 0.5500, Val Loss: 13.6137, Val Accuracy: 0.3571 
12:02:41 :Epoch 14/50, Loss: 9.6420, Accuracy: 0.5571, Val Loss: 13.8004, Val Accuracy: 0.3571 
12:03:58 :Epoch 15/50, Loss: 8.7251, Accuracy: 0.5929, Val Loss: 15.7892, Val Accuracy: 0.4286 
12:05:15 :Epoch 16/50, Loss: 8.0066, Accuracy: 0.6357, Val Loss: 14.2413, Val Accuracy: 0.3571 
12:06:31 :Epoch 17/50, Loss: 7.7236, Accuracy: 0.6429, Val Loss: 14.7723, Val Accuracy: 0.4286 
12:07:48 :Epoch 18/50, Loss: 7.4449, Accuracy: 0.7000, Val Loss: 13.8155, Val Accuracy: 0.5000 
12:09:06 :Epoch 19/50, Loss: 6.3070, Accuracy: 0.6929, Val Loss: 16.8517, Val Accuracy: 0.3571 
12:10:22 :Epoch 20/50, Loss: 5.9876, Accuracy: 0.7286, Val Loss: 15.2011, Val Accuracy: 0.3571 
12:11:38 :Epoch 21/50, Loss: 5.9025, Accuracy: 0.7143, Val Loss: 15.3285, Val Accuracy: 0.3571 
12:12:56 :Epoch 22/50, Loss: 6.5875, Accuracy: 0.7071, Val Loss: 15.0297, Val Accuracy: 0.4286 
12:14:13 :Epoch 23/50, Loss: 6.4218, Accuracy: 0.7143, Val Loss: 15.4694, Val Accuracy: 0.4286 
12:15:29 :Epoch 24/50, Loss: 6.2932, Accuracy: 0.7143, Val Loss: 14.4385, Val Accuracy: 0.3571 
12:16:47 :Epoch 25/50, Loss: 6.4406, Accuracy: 0.7143, Val Loss: 15.7892, Val Accuracy: 0.4286 
12:18:04 :Epoch 26/50, Loss: 6.5187, Accuracy: 0.7071, Val Loss: 15.4297, Val Accuracy: 0.4286 
12:19:21 :Epoch 27/50, Loss: 7.0171, Accuracy: 0.7000, Val Loss: 13.9467, Val Accuracy: 0.4286 
12:20:38 :Epoch 28/50, Loss: 6.2723, Accuracy: 0.7143, Val Loss: 14.6729, Val Accuracy: 0.4286 
12:21:55 :Epoch 29/50, Loss: 6.3936, Accuracy: 0.7143, Val Loss: 14.5942, Val Accuracy: 0.4286 
12:23:12 :Epoch 30/50, Loss: 5.6620, Accuracy: 0.7571, Val Loss: 14.1969, Val Accuracy: 0.4286 
12:24:29 :Epoch 31/50, Loss: 5.5650, Accuracy: 0.7643, Val Loss: 14.3449, Val Accuracy: 0.4286 
12:25:46 :Epoch 32/50, Loss: 6.0422, Accuracy: 0.7071, Val Loss: 14.2991, Val Accuracy: 0.4286 
12:27:03 :Epoch 33/50, Loss: 5.7852, Accuracy: 0.7000, Val Loss: 13.7903, Val Accuracy: 0.4286 
12:28:21 :Epoch 34/50, Loss: 5.5825, Accuracy: 0.7286, Val Loss: 15.1367, Val Accuracy: 0.4286 
12:29:38 :Epoch 35/50, Loss: 5.1263, Accuracy: 0.7357, Val Loss: 14.4864, Val Accuracy: 0.4286 
12:30:55 :Epoch 36/50, Loss: 4.8470, Accuracy: 0.7857, Val Loss: 14.9001, Val Accuracy: 0.4286 
12:32:13 :Epoch 37/50, Loss: 4.9073, Accuracy: 0.7929, Val Loss: 14.6370, Val Accuracy: 0.4286 
12:33:30 :Epoch 38/50, Loss: 4.6548, Accuracy: 0.8214, Val Loss: 14.8604, Val Accuracy: 0.4286 
12:34:47 :Epoch 39/50, Loss: 4.8417, Accuracy: 0.7929, Val Loss: 14.4001, Val Accuracy: 0.4286 
12:36:04 :Epoch 40/50, Loss: 4.8741, Accuracy: 0.7857, Val Loss: 14.8694, Val Accuracy: 0.4286 
12:37:21 :Epoch 41/50, Loss: 4.6877, Accuracy: 0.8071, Val Loss: 14.9712, Val Accuracy: 0.4286 
12:38:38 :Epoch 42/50, Loss: 4.9736, Accuracy: 0.7786, Val Loss: 14.8719, Val Accuracy: 0.4286 
12:39:56 :Epoch 43/50, Loss: 5.9675, Accuracy: 0.7214, Val Loss: 12.9589, Val Accuracy: 0.4286 
12:41:13 :Epoch 44/50, Loss: 6.9333, Accuracy: 0.6429, Val Loss: 12.2819, Val Accuracy: 0.5000 
12:42:30 :Epoch 45/50, Loss: 7.0436, Accuracy: 0.6643, Val Loss: 11.5874, Val Accuracy: 0.5000 
12:43:47 :Epoch 46/50, Loss: 6.0573, Accuracy: 0.7143, Val Loss: 12.5570, Val Accuracy: 0.4286 
12:45:05 :Epoch 47/50, Loss: 6.0769, Accuracy: 0.6929, Val Loss: 10.6155, Val Accuracy: 0.5000 
12:46:22 :Epoch 48/50, Loss: 5.7147, Accuracy: 0.6857, Val Loss: 11.8419, Val Accuracy: 0.5714 
12:47:39 :Epoch 49/50, Loss: 5.1782, Accuracy: 0.7357, Val Loss: 11.8419, Val Accuracy: 0.5714 
12:48:57 :Epoch 50/50, Loss: 4.5287, Accuracy: 0.7786, Val Loss: 12.0221, Val Accuracy: 0.5000 
